No,Nama,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Target
1,Dewi,62,72,83,98,80,69,66,89,61,72,AK
2,Krisna,96,94,89,62,79,84,85,81,93,67,ME
3,Zain,86,76,60,69,81,73,100,90,71,91,TPPU
4,Bayu,79,86,95,62,98,79,66,99,72,78,MK
5,Hadi,89,100,77,99,96,94,64,61,89,68,KP
6,Fitri,93,99,94,93,78,68,69,62,85,79,IN
7,Dewi,75,60,76,62,91,62,86,97,89,78,LPI
8,Rudi,74,97,85,100,85,78,82,92,77,97,AK
9,Citra,64,81,92,69,98,67,78,88,75,84,KP
10,Nina,87,69,80,61,87,98,86,63,94,77,IF
11,Eka,79,60,60,87,81,62,71,96,79,85,TPPU
12,Joko,90,71,70,86,86,64,72,86,73,100,TRE
13,Zain,89,93,85,83,97,94,67,78,70,86,ME
14,Oscar,71,81,74,86,66,97,72,82,99,74,TRPL
15,Dewi,91,97,83,81,92,78,99,96,74,70,IN
16,Oscar,78,63,86,75,88,72,79,96,82,62,RE
17,Dewi,64,92,67,71,91,81,70,96,64,71,IN
18,Zain,87,68,86,79,97,100,83,67,83,78,LPI
19,Gita,71,78,92,72,74,77,96,95,78,85,ME
20,Tono,92,90,65,79,62,68,64,76,100,84,LPI
21,Dewi,79,70,63,89,75,67,76,63,91,91,RPE
22,Eka,75,66,88,91,68,80,76,85,65,95,TPPU
23,Putri,77,86,67,87,60,96,76,71,62,63,IN
24,Indra,89,98,71,98,97,91,77,86,80,94,RPE
25,Lina,74,61,81,81,67,64,67,61,89,85,RPE
26,Fitri,63,64,88,75,96,70,86,100,83,93,TRM
27,Joko,95,74,70,82,96,61,95,90,91,99,TPPU
28,Krisna,89,93,99,74,79,76,82,74,79,97,AM
29,Lina,60,98,62,73,91,62,68,74,69,66,KP
30,Sari,91,73,96,88,100,66,72,71,85,92,TRM
31,Nina,96,64,78,79,79,97,91,91,92,94,TRE
32,Zain,95,92,71,93,67,82,64,86,77,67,IF
33,Bayu,76,100,64,61,81,62,72,66,96,82,TRM
34,Joko,69,79,79,80,98,80,85,71,79,91,KP
35,Dewi,92,83,90,98,62,96,78,73,93,89,MK
36,Bayu,69,68,92,75,78,99,82,82,78,77,ME
37,Bayu,82,98,68,72,73,77,96,86,73,91,TPPU
38,Joko,75,68,96,63,88,68,66,67,90,98,AM
39,Mira,80,81,76,86,65,83,69,91,76,86,ME
40,Bayu,66,70,60,100,84,86,75,98,84,94,WE
41,Dewi,83,66,73,89,70,86,87,80,95,64,TRPL
42,Zain,98,67,61,77,90,92,84,69,94,84,AM
43,Bayu,93,93,100,71,92,89,85,79,81,79,TPPU
44,Rudi,77,68,87,87,93,65,73,77,82,66,KP
45,Zain,77,72,69,97,99,74,99,85,94,66,KP
46,Hadi,70,78,71,86,70,72,99,67,67,80,TRM
47,Wati,92,86,80,78,64,98,70,95,69,63,RPE
48,Joko,84,92,69,68,92,92,81,64,84,92,KP
49,Joko,99,69,92,80,61,81,95,77,82,66,TRE
50,Citra,61,100,65,78,98,89,61,92,97,98,RKS
51,Oscar,69,65,72,78,73,63,86,79,78,85,KP
52,Zain,83,92,93,82,74,95,75,70,93,94,TRPL
53,Oscar,68,80,64,72,71,95,82,80,61,89,MS
54,Sari,75,83,96,73,71,63,81,62,70,75,RKS
55,Putri,60,69,91,82,73,88,69,98,67,94,GM
56,Indra,84,72,75,90,70,99,77,62,98,90,ME
57,Tono,63,79,90,61,66,78,84,87,83,86,RE
58,Rudi,61,75,92,84,83,71,81,62,99,71,MS
59,Tono,93,98,100,78,95,73,65,64,100,77,ABT
60,Krisna,98,66,90,66,77,79,77,95,68,61,IN
61,Fitri,83,84,92,92,73,87,70,65,68,60,LPI
62,Putri,100,89,69,94,80,82,100,93,68,89,TRPL
63,Wati,76,96,63,78,90,77,90,93,61,74,MK
64,Putri,70,81,93,97,70,88,68,71,74,61,AM
